Intitulé,Entreprise,Lieu,Salaire min,Salaire max,Salaire prédit,Secteur,Skills détectés,Description
Développeur web/Développeuse web,CLEEVEN,France,,,0,Emplois Fabrication,,"CLEEVEN est un cabinet de conseil européen fondé autour de deux convictions fondamentales : L’excellence des ingénieurs européens doit être un moteur de la compétitivité mondiale. Notre mission humaine : accompagner nos consultants dans leur développement personnel et professionnel. Dans le cadre d’un projet de refonte applicative pour un client du secteur du luxe, nous recrutons un(e) Développeur Fullstack Laravel / Vue.js (H/F) pouvant également assurer le rôle de Scrum Master à hauteur de 20…"
Développeur Python/Développeuse Python,Aleysia,"Grenoble, Isère",,,0,Unknown,Python," Tu as l'esprit d'initiative et tu aimes travailler dans un environnement stimulant, postule sans attendre à cette offre de Développeur·se Python qui est faite pour toi ! ⬇️  Ton challenge si tu l’acceptes : Développer des solutions innovantes en Python, avec un code optimisé, clair et bien documenté. Intégrer des API et interagir avec des bases de données relationnelles et / ou non relationnelles Contribuer à la pérennité et à l'évolution des applications en assurant leur maintenance et en pro…"
Développeur iOS/Développeuse iOS,Webwag Mobile,"Bordeaux, Gironde",,,0,Unknown,,"DEV MOBILE SENIOR / TECH LEAD EN NATIF IOS Missions : tu intègres notre team technique composée de développeurs mobiles iOS natif (mais il y a aussi des devs Android !) pour travailler en équipe interne sur des projets de conception réalisation d’apps mobiles natives pour des clients grands comptes, parfois à l’international. Tu travailles en interaction permanente avec un ou des binômes iOS expérimentés, des CP/PO, et notre équipe design ; ce sera en full agile, ou bien en mode plus simplifié,…"
Développeur Android/Développeuse Android,Instant System - Enabling MaaS,"Antibes-Biot, Grasse",,,0,Emplois Informatique,," Résumé de l'annonce en 5 points  Instant System est un éditeur qui développe des applis web et mobile de mobilité urbaine 10 ans d'existence et 115 personnes dans nos locaux de Sophia-Antipolis Application utile à la société et qui œuvre pour l' environnement ! Salaire de 40 à 50K€ selon tes compétences, 2 jours de télétravail/semaine Stack : Kotlin, Jetpack Compose, Hilt, Room, Store, Ktor, web services REST, MVVM, Jenkins, Git, BitBucket, …  Que faisons-nous et qui sommes-nous ?  La mobilité…"
Développeur Python/Développeuse Python,Daveo,France,,,0,Unknown,,"Daveo est un cabinet de conseil spécialisé dans les domaines du product management , de la technologie et du cloud . Fondé en 2008 , Daveo a bâti sa réputation sur une culture d’entreprise forte axée sur la réussite collective . Voici quelques points clés à propos de Daveo : Innovation et Collaboration : Daveo allie amour de l’innovation et état d’esprit collaboratif pour offrir des solutions de pointe à ses clients. Expertise : Daveo est un pure player du product management, de la tech et du c…"
Développeuse / Développeur Cleva - Nantes,Capgemini,"Nantes, Loire-Atlantique",,,0,Unknown,,"Choisir Capgemini, c'est choisir une entreprise où vous serez en mesure de façonner votre carrière selon vos aspirations. Avec le soutien et l'inspiration d'une communauté d’experts dans le monde entier, vous pourrez réécrire votre futur. Rejoignez-nous pour redéfinir les limites de ce qui est possible, contribuer à libérer la valeur de la technologie pour les plus grandes organisations et participer à la construction d’un monde plus durable et inclusif. Vos missions : Participer à chacune des …"
Développeur de mainframe/Développeuse de mainframe,Apside,"Lyon, Rhône",,,0,Unknown,,"OPPORTUNITE A POURVOIR : CONCEPTEUR MAINFRAME [H/F] !   Découvrez la Vie Apsidienne  et vous aussi, devenez Apsidien // On aurait pu demander à Chat GPT de vous démontrer en quoi Apside est l’ESN qu’il vous faut, mais on préfère que vous le découvriez vous-mêmes   Découvrez votre future mission //  Contexte Client : Secteur banque Equipe : 15 personnes, échanges collaboratifs, Méthode de travail : Agilité Rôle : Développer, maintenir et optimiser des applications legacy pour répondre aux besoin…"
Développeuse / Développeur PEGA - Paris,Capgemini,"Paris, Ile-de-France",,,0,Unknown,,"Choisir Capgemini, c'est choisir une entreprise où vous serez en mesure de façonner votre carrière selon vos aspirations. Avec le soutien et l'inspiration d'une communauté d’experts dans le monde entier, vous pourrez réécrire votre futur. Rejoignez-nous pour redéfinir les limites de ce qui est possible, contribuer à libérer la valeur de la technologie pour les plus grandes organisations et participer à la construction d’un monde plus durable et inclusif. Vos missions : Accompagner nos clients e…"
Développeur / Développeuse JAVA,Phusis Group,France,,,0,Unknown,,"Développeur / Développeuse Java (CDI ou Freelance) Phusis Group – Lyon, Grenoble, Tours, France (Hybride) Vous souhaitez évoluer dans une entreprise où innovation, design centré sur l’humain et engagement écoresponsable s’entrelacent ? Phusis Group , collectif engagé dans les services Design, Développement et Data/IA , recherche un(e) Développeur/Développeuse Java pour accompagner des projets variés avec des startups comme des grands comptes, en mettant l'accent sur des solutions écoresponsable…"
Développeur/Développeuse .NET,Mobiskill | WEFY Group,France,,,0,Unknown,,"L'entreprise : Il s'agit d'une société innovante dans le secteur des annonces immobilières, qui souhaite repenser et optimiser ses solutions web et mobiles. Leur objectif est clair : disrupter le marché immobilier avec une technologie à la pointe. Actuellement leader européen du marché, ils ambitionnent de continuer leur internationalisation ! Les missions : > Participer au développement des solutions en C# > Collaborer avec une équipe Agile pour concevoir des solutions performantes > Échanger …"
